<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ICE.BRN,D,01/05/10,00:00:00,87.4700000
ICE.BRN,D,03/05/10,00:00:00,88.9600000
ICE.BRN,D,04/05/10,00:00:00,85.5500000
ICE.BRN,D,05/05/10,00:00:00,82.5100000
ICE.BRN,D,06/05/10,00:00:00,79.5700000
ICE.BRN,D,07/05/10,00:00:00,78.5700000
ICE.BRN,D,08/05/10,00:00:00,78.5800000
ICE.BRN,D,10/05/10,00:00:00,81.6900000
ICE.BRN,D,11/05/10,00:00:00,81.6500000
ICE.BRN,D,12/05/10,00:00:00,82.4700000
ICE.BRN,D,13/05/10,00:00:00,81.1500000
ICE.BRN,D,14/05/10,00:00:00,78.1100000
ICE.BRN,D,15/05/10,00:00:00,78.5000000
ICE.BRN,D,17/05/10,00:00:00,75.5300000
ICE.BRN,D,18/05/10,00:00:00,74.5800000
ICE.BRN,D,19/05/10,00:00:00,73.8800000
ICE.BRN,D,20/05/10,00:00:00,71.1400000
ICE.BRN,D,21/05/10,00:00:00,71.8000000
ICE.BRN,D,22/05/10,00:00:00,72.1100000
ICE.BRN,D,24/05/10,00:00:00,71.1100000
ICE.BRN,D,25/05/10,00:00:00,69.9600000
ICE.BRN,D,26/05/10,00:00:00,71.4100000
ICE.BRN,D,27/05/10,00:00:00,74.8200000
ICE.BRN,D,28/05/10,00:00:00,74.1200000
ICE.BRN,D,29/05/10,00:00:00,74.2000000
ICE.BRN,D,31/05/10,00:00:00,74.6000000
ICE.BRN,D,01/06/10,00:00:00,72.3100000
ICE.BRN,D,02/06/10,00:00:00,74.4500000
ICE.BRN,D,03/06/10,00:00:00,75.4000000
ICE.BRN,D,04/06/10,00:00:00,71.7400000
ICE.BRN,D,05/06/10,00:00:00,71.6600000
ICE.BRN,D,07/06/10,00:00:00,71.6300000
ICE.BRN,D,08/06/10,00:00:00,72.3900000
ICE.BRN,D,09/06/10,00:00:00,73.9200000
ICE.BRN,D,10/06/10,00:00:00,76.3200000
ICE.BRN,D,11/06/10,00:00:00,75.5200000
ICE.BRN,D,12/06/10,00:00:00,75.5900000
ICE.BRN,D,14/06/10,00:00:00,75.3100000
ICE.BRN,D,15/06/10,00:00:00,77.3100000
ICE.BRN,D,16/06/10,00:00:00,78.0700000
ICE.BRN,D,17/06/10,00:00:00,78.6800000
ICE.BRN,D,18/06/10,00:00:00,78.4000000
ICE.BRN,D,19/06/10,00:00:00,78.4200000
ICE.BRN,D,21/06/10,00:00:00,78.4600000
ICE.BRN,D,22/06/10,00:00:00,77.8500000
ICE.BRN,D,23/06/10,00:00:00,75.8000000
ICE.BRN,D,24/06/10,00:00:00,76.2600000
ICE.BRN,D,25/06/10,00:00:00,78.4500000
ICE.BRN,D,26/06/10,00:00:00,78.4100000
ICE.BRN,D,28/06/10,00:00:00,77.4200000
ICE.BRN,D,29/06/10,00:00:00,75.0700000
ICE.BRN,D,30/06/10,00:00:00,74.6600000
ICE.BRN,D,01/07/10,00:00:00,72.1700000
ICE.BRN,D,02/07/10,00:00:00,71.7600000
ICE.BRN,D,03/07/10,00:00:00,71.9300000
ICE.BRN,D,05/07/10,00:00:00,71.5000000
ICE.BRN,D,06/07/10,00:00:00,71.7500000
ICE.BRN,D,07/07/10,00:00:00,73.9400000
ICE.BRN,D,08/07/10,00:00:00,75.2000000
ICE.BRN,D,09/07/10,00:00:00,75.5000000
ICE.BRN,D,10/07/10,00:00:00,75.1600000
ICE.BRN,D,12/07/10,00:00:00,74.3700000
ICE.BRN,D,13/07/10,00:00:00,76.7700000
ICE.BRN,D,14/07/10,00:00:00,76.5400000
ICE.BRN,D,15/07/10,00:00:00,76.2900000
ICE.BRN,D,16/07/10,00:00:00,75.3400000
ICE.BRN,D,17/07/10,00:00:00,75.3500000
ICE.BRN,D,19/07/10,00:00:00,75.6100000
ICE.BRN,D,20/07/10,00:00:00,76.4400000
ICE.BRN,D,21/07/10,00:00:00,75.1900000
ICE.BRN,D,22/07/10,00:00:00,77.5900000
ICE.BRN,D,23/07/10,00:00:00,77.6300000
ICE.BRN,D,24/07/10,00:00:00,77.3400000
ICE.BRN,D,26/07/10,00:00:00,77.5100000
ICE.BRN,D,27/07/10,00:00:00,75.6000000
ICE.BRN,D,28/07/10,00:00:00,76.0000000
ICE.BRN,D,29/07/10,00:00:00,77.3500000
ICE.BRN,D,30/07/10,00:00:00,78.2600000
ICE.BRN,D,01/08/10,00:00:00,78.1700000
ICE.BRN,D,02/08/10,00:00:00,81.0500000
ICE.BRN,D,03/08/10,00:00:00,82.7000000
ICE.BRN,D,04/08/10,00:00:00,82.1000000
ICE.BRN,D,05/08/10,00:00:00,81.7300000
ICE.BRN,D,06/08/10,00:00:00,80.3600000
ICE.BRN,D,08/08/10,00:00:00,80.3000000
ICE.BRN,D,09/08/10,00:00:00,81.1400000
ICE.BRN,D,10/08/10,00:00:00,79.9700000
ICE.BRN,D,11/08/10,00:00:00,77.6700000
ICE.BRN,D,12/08/10,00:00:00,75.8800000
ICE.BRN,D,13/08/10,00:00:00,75.7400000
ICE.BRN,D,14/08/10,00:00:00,75.2000000
ICE.BRN,D,16/08/10,00:00:00,75.5200000
ICE.BRN,D,17/08/10,00:00:00,76.8900000
ICE.BRN,D,18/08/10,00:00:00,76.3000000
ICE.BRN,D,19/08/10,00:00:00,75.3800000
ICE.BRN,D,20/08/10,00:00:00,74.4300000
ICE.BRN,D,21/08/10,00:00:00,74.3300000
ICE.BRN,D,23/08/10,00:00:00,73.4700000
ICE.BRN,D,24/08/10,00:00:00,72.1800000
ICE.BRN,D,25/08/10,00:00:00,73.7200000
ICE.BRN,D,26/08/10,00:00:00,74.8800000
ICE.BRN,D,27/08/10,00:00:00,76.8700000
ICE.BRN,D,28/08/10,00:00:00,76.9300000
ICE.BRN,D,30/08/10,00:00:00,76.2000000
ICE.BRN,D,31/08/10,00:00:00,74.4200000
ICE.BRN,D,01/09/10,00:00:00,76.3700000
ICE.BRN,D,02/09/10,00:00:00,76.8900000
ICE.BRN,D,03/09/10,00:00:00,76.5700000
ICE.BRN,D,04/09/10,00:00:00,76.6200000
ICE.BRN,D,05/09/10,00:00:00,76.6300000
ICE.BRN,D,06/09/10,00:00:00,76.8700000
ICE.BRN,D,07/09/10,00:00:00,77.2600000
ICE.BRN,D,08/09/10,00:00:00,77.9300000
ICE.BRN,D,09/09/10,00:00:00,77.2100000
ICE.BRN,D,10/09/10,00:00:00,78.4100000
ICE.BRN,D,11/09/10,00:00:00,78.3600000
ICE.BRN,D,13/09/10,00:00:00,79.1900000
ICE.BRN,D,14/09/10,00:00:00,79.1000000
ICE.BRN,D,15/09/10,00:00:00,79.2000000
ICE.BRN,D,16/09/10,00:00:00,78.4700000
ICE.BRN,D,17/09/10,00:00:00,77.9700000
ICE.BRN,D,19/09/10,00:00:00,78.2300000
ICE.BRN,D,20/09/10,00:00:00,79.3600000
ICE.BRN,D,21/09/10,00:00:00,78.1000000
ICE.BRN,D,22/09/10,00:00:00,77.9800000
ICE.BRN,D,23/09/10,00:00:00,77.9300000
