<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,01/05/10,00:00:00,29.2310000
USDRUB,D,03/05/10,00:00:00,29.3010000
USDRUB,D,04/05/10,00:00:00,29.5695000
USDRUB,D,05/05/10,00:00:00,30.0393000
USDRUB,D,06/05/10,00:00:00,30.6600000
USDRUB,D,07/05/10,00:00:00,30.4919000
USDRUB,D,08/05/10,00:00:00,30.5630000
USDRUB,D,09/05/10,00:00:00,30.2970000
USDRUB,D,10/05/10,00:00:00,30.4260000
USDRUB,D,11/05/10,00:00:00,30.1990000
USDRUB,D,12/05/10,00:00:00,30.0145000
USDRUB,D,13/05/10,00:00:00,30.0417000
USDRUB,D,14/05/10,00:00:00,30.3245000
USDRUB,D,15/05/10,00:00:00,30.4070000
USDRUB,D,16/05/10,00:00:00,30.4520000
USDRUB,D,17/05/10,00:00:00,30.5405000
USDRUB,D,18/05/10,00:00:00,30.4965000
USDRUB,D,19/05/10,00:00:00,30.6545000
USDRUB,D,20/05/10,00:00:00,31.3985000
USDRUB,D,21/05/10,00:00:00,31.0625000
USDRUB,D,22/05/10,00:00:00,31.0740000
USDRUB,D,23/05/10,00:00:00,31.0820000
USDRUB,D,24/05/10,00:00:00,31.0105000
USDRUB,D,25/05/10,00:00:00,31.4320000
USDRUB,D,26/05/10,00:00:00,31.1590000
USDRUB,D,27/05/10,00:00:00,30.6475000
USDRUB,D,28/05/10,00:00:00,30.6660000
USDRUB,D,29/05/10,00:00:00,30.7890000
USDRUB,D,30/05/10,00:00:00,30.7930000
USDRUB,D,31/05/10,00:00:00,30.8790000
USDRUB,D,01/06/10,00:00:00,31.1045000
USDRUB,D,02/06/10,00:00:00,31.1460000
USDRUB,D,03/06/10,00:00:00,31.1470000
USDRUB,D,04/06/10,00:00:00,31.5195000
USDRUB,D,05/06/10,00:00:00,31.5880000
USDRUB,D,06/06/10,00:00:00,31.6340000
USDRUB,D,07/06/10,00:00:00,31.8425000
USDRUB,D,08/06/10,00:00:00,31.8120000
USDRUB,D,09/06/10,00:00:00,31.6739000
USDRUB,D,10/06/10,00:00:00,31.5145000
USDRUB,D,11/06/10,00:00:00,31.5970000
USDRUB,D,12/06/10,00:00:00,31.5510000
USDRUB,D,14/06/10,00:00:00,31.4070000
USDRUB,D,15/06/10,00:00:00,31.2475000
USDRUB,D,16/06/10,00:00:00,31.2072000
USDRUB,D,17/06/10,00:00:00,30.9300000
USDRUB,D,18/06/10,00:00:00,30.9870000
USDRUB,D,19/06/10,00:00:00,31.0090000
USDRUB,D,20/06/10,00:00:00,30.9750000
USDRUB,D,21/06/10,00:00:00,30.8340000
USDRUB,D,22/06/10,00:00:00,30.9052000
USDRUB,D,23/06/10,00:00:00,30.9900000
USDRUB,D,24/06/10,00:00:00,31.0500000
USDRUB,D,25/06/10,00:00:00,30.9700000
USDRUB,D,26/06/10,00:00:00,31.1400000
USDRUB,D,28/06/10,00:00:00,31.0600000
USDRUB,D,29/06/10,00:00:00,31.3100000
USDRUB,D,30/06/10,00:00:00,31.2600000
USDRUB,D,01/07/10,00:00:00,31.0200000
USDRUB,D,02/07/10,00:00:00,31.0800000
USDRUB,D,03/07/10,00:00:00,31.0920000
USDRUB,D,04/07/10,00:00:00,31.0950000
USDRUB,D,05/07/10,00:00:00,31.1300000
USDRUB,D,06/07/10,00:00:00,30.9900000
USDRUB,D,07/07/10,00:00:00,31.1300000
USDRUB,D,08/07/10,00:00:00,30.8300000
USDRUB,D,09/07/10,00:00:00,30.8700000
USDRUB,D,10/07/10,00:00:00,30.8840000
USDRUB,D,12/07/10,00:00:00,30.7665000
USDRUB,D,13/07/10,00:00:00,30.5965000
USDRUB,D,14/07/10,00:00:00,30.5500000
USDRUB,D,15/07/10,00:00:00,30.3700000
USDRUB,D,16/07/10,00:00:00,30.5000000
USDRUB,D,17/07/10,00:00:00,30.4000000
USDRUB,D,19/07/10,00:00:00,30.5100000
USDRUB,D,20/07/10,00:00:00,30.4800000
USDRUB,D,21/07/10,00:00:00,30.4900000
USDRUB,D,22/07/10,00:00:00,30.3500000
USDRUB,D,23/07/10,00:00:00,30.3200000
USDRUB,D,24/07/10,00:00:00,30.3400000
USDRUB,D,26/07/10,00:00:00,30.2100000
USDRUB,D,27/07/10,00:00:00,30.2000000
USDRUB,D,28/07/10,00:00:00,30.2400000
USDRUB,D,29/07/10,00:00:00,30.1700000
USDRUB,D,30/07/10,00:00:00,30.2600000
USDRUB,D,31/07/10,00:00:00,30.2700000
USDRUB,D,01/08/10,00:00:00,30.2600000
USDRUB,D,02/08/10,00:00:00,30.0000000
USDRUB,D,03/08/10,00:00:00,29.7200000
USDRUB,D,04/08/10,00:00:00,29.8100000
USDRUB,D,05/08/10,00:00:00,29.8300000
USDRUB,D,06/08/10,00:00:00,29.7400000
USDRUB,D,07/08/10,00:00:00,29.8400000
USDRUB,D,09/08/10,00:00:00,29.9300000
USDRUB,D,10/08/10,00:00:00,30.0000000
USDRUB,D,11/08/10,00:00:00,30.4400000
USDRUB,D,12/08/10,00:00:00,30.5600000
USDRUB,D,13/08/10,00:00:00,30.5400000
USDRUB,D,14/08/10,00:00:00,30.5500000
USDRUB,D,15/08/10,00:00:00,30.5200000
USDRUB,D,16/08/10,00:00:00,30.5100000
USDRUB,D,17/08/10,00:00:00,30.3900000
USDRUB,D,18/08/10,00:00:00,30.4200000
USDRUB,D,19/08/10,00:00:00,30.4800000
USDRUB,D,20/08/10,00:00:00,30.6300000
USDRUB,D,21/08/10,00:00:00,30.6400000
USDRUB,D,22/08/10,00:00:00,30.6300000
USDRUB,D,23/08/10,00:00:00,30.6800000
USDRUB,D,24/08/10,00:00:00,30.8100000
USDRUB,D,25/08/10,00:00:00,30.9400000
USDRUB,D,26/08/10,00:00:00,30.7000000
USDRUB,D,27/08/10,00:00:00,30.6700000
USDRUB,D,28/08/10,00:00:00,30.6700000
USDRUB,D,29/08/10,00:00:00,30.6600000
USDRUB,D,30/08/10,00:00:00,30.6800000
USDRUB,D,31/08/10,00:00:00,30.8400000
USDRUB,D,01/09/10,00:00:00,30.7200000
USDRUB,D,02/09/10,00:00:00,30.7100000
USDRUB,D,03/09/10,00:00:00,30.5800000
USDRUB,D,04/09/10,00:00:00,30.5900000
USDRUB,D,05/09/10,00:00:00,30.5900000
USDRUB,D,06/09/10,00:00:00,30.6100000
USDRUB,D,07/09/10,00:00:00,30.8900000
USDRUB,D,08/09/10,00:00:00,30.8500000
USDRUB,D,09/09/10,00:00:00,30.8700000
USDRUB,D,10/09/10,00:00:00,30.8900000
USDRUB,D,11/09/10,00:00:00,30.9400000
USDRUB,D,12/09/10,00:00:00,30.8800000
USDRUB,D,13/09/10,00:00:00,30.6400000
USDRUB,D,14/09/10,00:00:00,30.5900000
USDRUB,D,15/09/10,00:00:00,30.9500000
USDRUB,D,16/09/10,00:00:00,31.2200000
USDRUB,D,17/09/10,00:00:00,30.9800000
USDRUB,D,18/09/10,00:00:00,30.9500000
USDRUB,D,19/09/10,00:00:00,30.9700000
USDRUB,D,20/09/10,00:00:00,31.0900000
USDRUB,D,21/09/10,00:00:00,30.9100000
USDRUB,D,22/09/10,00:00:00,31.0000000
USDRUB,D,23/09/10,00:00:00,31.0200000
USDRUB,D,24/09/10,00:00:00,30.7600000
USDRUB,D,25/09/10,00:00:00,30.7800000
USDRUB,D,27/09/10,00:00:00,30.5200000
USDRUB,D,28/09/10,00:00:00,30.3800000
